Physical 0x00000000
0x80000348x : 0x5555575d
0x8000034cx : 0x55555575
0x80000350x : 0x55555555
0x80000354x : 0x5555d555
0x80000358x : 0x55555574
0x8000035cx : 0x55555775
0x80000360x : 0x55557715
0x80000364x : 0x55555555
0x80000368x : 0x55555755
0x8000036cx : 0x55555555
0x80000370x : 0x55555555
0x80000374x : 0x55557575
0x80000378x : 0x55555555
0x8000037cx : 0x555555f5
0x80000380x : 0x5555555d
0x80000384x : 0x55555d1d
0x80000388x : 0x55551557
0x8000038cx : 0x55555d17
0x80000390x : 0x55555575
0x80000394x : 0x5555d5d5
0x80000398x : 0x5555555d
0x8000039cx : 0x55555555
0x800003a0x : 0x55555555
0x800003a4x : 0x55555555
0x800003a8x : 0x5555575f
0x800003acx : 0x555555d5
0x800003b0x : 0x5555d775
0x800003b4x : 0x555555d5
0x800003b8x : 0x55555777
0x800003bcx : 0x5555d555
0x800003c0x : 0x55555555
0x800003c4x : 0x55555555
0x800003c8x : 0x55555555
0x800003ccx : 0x55555d5d
0x800003d0x : 0x55555555
0x800003d4x : 0x5555d755
0x800003d8x : 0x5555d555
0x800003dcx : 0x5555d151
0x800003e0x : 0x55555715
0x800003e4x : 0x55555d5d
0x800003e8x : 0x55555f75
0x800003ecx : 0x55555717
0x800003f0x : 0x55557575
0x800003f4x : 0x55557554
0x800003f8x : 0x5555d175
0x800003fcx : 0x555555f5
0x80000400x : 0x55555555
0x80000404x : 0x55555557
0x80000408x : 0x55555d5d
0x8000040cx : 0x5555555d
0x80000410x : 0x5555d555
0x80000414x : 0x555554f5
0x80000418x : 0x5555d55d
0x8000041cx : 0x55555575
0x80000420x : 0x5555575d
0x80000424x : 0x5555551d
0x80000428x : 0x5555557d
0x8000042cx : 0x55555755
0x80000430x : 0x55557555
0x80000434x : 0x55555555
0x80000438x : 0x5555dd55
0x8000043cx : 0x555555d5
0x80000440x : 0x55555755
0x80000444x : 0x55555555
0x80000448x : 0x55555557
0x8000044cx : 0x55555755
0x80000450x : 0x5555f555
0x80000454x : 0x55555555
0x80000458x : 0x555574d7
0x8000045cx : 0x555555f5
0x80000460x : 0x55555d55
0x80000464x : 0x55555555
0x80000468x : 0x55555557
0x8000046cx : 0x55555545
0x80000470x : 0x55557475
0x80000474x : 0x555575d5
0x80000478x : 0x55557555
0x8000047cx : 0x55555555
0x80000480x : 0x55555557
0x80000484x : 0x55555517
0x80000488x : 0x55555d57
0x8000048cx : 0x5555575d
0x80000490x : 0x5555d655
0x80000494x : 0x5555d555
0x80000498x : 0x5555557d
0x8000049cx : 0x5555f475
0x800004a0x : 0x55555557
0x800004a4x : 0x55555557
0x800004a8x : 0x55555755
0x800004acx : 0x55555555
0x800004b0x : 0x55555555
0x800004b4x : 0x5555d5dd
0x800004b8x : 0x55555575
0x800004bcx : 0x55557551
0x800004c0x : 0x55555557
0x800004c4x : 0x55555555
0x800004c8x : 0x55555555
0x800004ccx : 0x55555757
0x800004d0x : 0x55555555
0x800004d4x : 0x555555d5
0x800004d8x : 0x55555555
0x800004dcx : 0x55555555
0x800004e0x : 0x55555557
0x800004e4x : 0x55555555
0x800004e8x : 0x5555155d
0x800004ecx : 0x55554dd5
0x800004f0x : 0x5555d5d5
0x800004f4x : 0x5555d05d
0x800004f8x : 0x5555d5d5
0x800004fcx : 0x555554d5
0x80000500x : 0x5555555f
0x80000504x : 0x55555d15
0x80000508x : 0x55555757
0x8000050cx : 0x55555757
0x80000510x : 0x55557575
0x80000514x : 0x555575f5
0x80000518x : 0x55557575
0x8000051cx : 0x55555555
0x80000520x : 0x55555515
0x80000524x : 0x55555555
0x80000528x : 0x5555555d
0x8000052cx : 0x55555d55
0x80000530x : 0x5555dd54
0x80000534x : 0x55555555
0x80000538x : 0x55555555
0x8000053cx : 0x55555755
0x80000540x : 0x55555555
0x80000544x : 0x55555555
0x80000548x : 0x5555555d
0x8000054cx : 0x55555557
0x80000550x : 0x5555d5f1
0x80000554x : 0x55557d55
0x80000558x : 0x55555554
0x8000055cx : 0x555555d5
0x80000560x : 0x55555555
0x80000564x : 0x5555175d
0x80000568x : 0x55555d9f
0x8000056cx : 0x55557d5d
0x80000570x : 0x55555575
0x80000574x : 0x555555d5
0x80000578x : 0x5555b555
0x8000057cx : 0x55555555
0x80000580x : 0x55555557
0x80000584x : 0x55557557
0x80000588x : 0x55555545
0x8000058cx : 0x55555d5f
0x80000590x : 0x55557554
0x80000594x : 0x55555555
0x80000598x : 0x555555f5
0x8000059cx : 0x55555555
0x800005a0x : 0x5555455d
0x800005a4x : 0x55555555
0x800005a8x : 0x555555d5
0x800005acx : 0x555555dd
0x800005b0x : 0x555551d5
0x800005b4x : 0x555575f5
0x800005b8x : 0x55555775
0x800005bcx : 0x5555d555
0x800005c0x : 0x55551577
0x800005c4x : 0x55555575
0x800005c8x : 0x55551555
0x800005ccx : 0x55555557
0x800005d0x : 0x55557451
0x800005d4x : 0x5555755d
0x800005d8x : 0x5555d555
0x800005dcx : 0x55557975
0x800005e0x : 0x55555555
0x800005e4x : 0x55555555
0x800005e8x : 0x55555555
0x800005ecx : 0x55555d5d
0x800005f0x : 0x5555d755
0x800005f4x : 0x555555d5
0x800005f8x : 0x55555555
0x800005fcx : 0x5555f555
0x80000600x : 0x5555575d
0x80000604x : 0x55555757
0x80000608x : 0x5555577f
0x8000060cx : 0x5555555d
0x80000610x : 0x55555575
0x80000614x : 0x555555f5
0x80000618x : 0x55555555
0x8000061cx : 0x55555475
0x80000620x : 0x55555555
0x80000624x : 0x55551555
0x80000628x : 0x55555555
0x8000062cx : 0x55555555
0x80000630x : 0x55557555
0x80000634x : 0x55555575
0x80000638x : 0x55557551
0x8000063cx : 0x5555d777
0x80000640x : 0x55557d5d
0x80000644x : 0x5555575d
0x80000648x : 0x55555557
0x8000064cx : 0x5555555f
0x80000650x : 0x5555d5d5
0x80000654x : 0x555555f5
0x80000658x : 0x555555f5
0x8000065cx : 0x55555555
0x80000660x : 0x55555755
0x80000664x : 0x55555555
0x80000668x : 0x5555575d
0x8000066cx : 0x55555755
0x80000670x : 0x5555f175
0x80000674x : 0x5555d555
0x80000678x : 0x55555575
0x8000067cx : 0x5555d554
0x80000680x : 0x55555d4d
0x80000684x : 0x55555555
0x80000688x : 0x5555575d
0x8000068cx : 0x5555575d
0x80000690x : 0x55555555
0x80000694x : 0x55555551
0x80000698x : 0x55555554
0x8000069cx : 0x55555575
0x800006a0x : 0x55550d57
0x800006a4x : 0x55555757
0x800006a8x : 0x55555d57
0x800006acx : 0x55555d55
0x800006b0x : 0x55555575
0x800006b4x : 0x55555555
